supplier,sku_adquify,sku_supplier,name,price,stock_status,category,dimensions,materials,images,description,url,source
,ADQ-CA-C79910B0,,,,,,,,https://casathai.es/5584-home_default/mesa-ricon-gina-blanca.jpg,,,scraper
,ADQ-CA-6816DAB4,,,,,,,,https://casathai.es/5579-home_default/mesa-ricon-gina-natural.jpg,,,scraper
,ADQ-CA-5330CC7F,,,,,,,,https://casathai.es/4512-home_default/mesita-blanca-conjunto-acapulco.jpg,,,scraper
,ADQ-CA-D8627B70,,,,,,,,https://casathai.es/5300-home_default/mesita-acapulco-negra.jpg,,,scraper
,ADQ-CA-DF6BC6FC,,,,,,,,https://casathai.es/5795-home_default/mesa-kalo-verde-kale.jpg,,,scraper
,ADQ-CA-E8420D8D,,,,,,,,https://casathai.es/5784-home_default/mesa-kalo-blanca.jpg,,,scraper
,ADQ-CA-7EC1710B,,,,,,,,https://casathai.es/5789-home_default/mesa-kalo-negra.jpg,,,scraper
,ADQ-CA-C65B30B2,,,,,,,,https://casathai.es/5911-home_default/mesa-ibiza.jpg,,,scraper
,ADQ-CA-B094116E,,,,,,,,https://casathai.es/608-home_default/mesa-de-centro-mood-rectangular-acero.jpg,,,scraper
,ADQ-CA-49C981DD,,,,,,,,https://casathai.es/122-home_default/mesa-auxiliar-mood-cuadrada-acero.jpg,,,scraper
,ADQ-CA-F28D6A07,,,,,,,,https://casathai.es/912-home_default/mesa-de-centro-ecco-blanca-cristal.jpg,,,scraper
,ADQ-CA-D0DE66A9,,,,,,,,https://casathai.es/4397-home_default/mesa-centro-canada.jpg,,,scraper
,ADQ-CA-08DEBC68,,,,,,,,https://casathai.es/5179-home_default/mesa-centro-canada-estructura-blanca.jpg,,,scraper
,ADQ-CA-2A156C88,,,,,,,,https://casathai.es/4606-home_default/conjunto-airon.jpg,,,scraper
,ADQ-CA-28003D17,,,,,,,,https://casathai.es/5197-home_default/set-de-2-mesas-auxiliares-redondas-bali.jpg,,,scraper
,ADQ-CA-655F3CBA,,,,,,,,https://casathai.es/5882-home_default/mesa-nina-centro-nogal-50-cm.jpg,,,scraper
,ADQ-CA-1F3B01B2,,,,,,,,https://casathai.es/5462-home_default/mesa-nina-centro-natural.jpg,,,scraper
,ADQ-CA-E440E234,,,,,,,,https://casathai.es/5457-home_default/mesa-centro-nina-blanca.jpg,,,scraper
,ADQ-CA-0D401A55,,,,,,,,https://casathai.es/5452-home_default/mesa-nina-centro-negra.jpg,,,scraper
